,index,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,imageLink,category,cardName,s3_file_name,s3_link,rgb
0,3156,3156,3153,223,https://cdn-us-ec.yottaa.net/56213828312e5803810043dd/www.hallmark.com/v~4b.1bd/dw/image/v2/AALB_PRD/on/demandware.static/-/Sites-hallmark-master/default/dwf849fd7f/images/finished-goods/Celebrating-the-Mom-You-Are-Mothers-Card_699MSI8192_01.jpg?sw=512&sh=512&sm=fit&yocs=27_&yoloc=us,Mother,celebrating-the-mom-you-are-mothers-card,celebrating-the-mom-you-are-mothers-card,https://greeting-card-images.s3.amazonaws.com/celebrating-the-mom-you-are-mothers-card,[254.95306285 254.93396977 254.93965223]
1,3434,3434,3436,506,https://cdn-us-ec.yottaa.net/56213828312e5803810043dd/www.hallmark.com/v~4b.1bd/dw/image/v2/AALB_PRD/on/demandware.static/-/Sites-hallmark-master/default/dw9c07d681/images/finished-goods/Queen-for-a-Day-Mothers-Day-Card-root-599MSI3836_MSI3836_1470_1.jpg_Source_Image.jpg?sw=512&sh=512&sm=fit&yocs=27_&yoloc=us,Mother,queen-for-a-day-mothers-day-card-root-599msi3836,queen-for-a-day-mothers-day-card-root-599msi3836,https://greeting-card-images.s3.amazonaws.com/queen-for-a-day-mothers-day-card-root-599msi3836,[254.95677664 254.92148523 254.83434878]
2,3982,3982,4001,89,https://cdn-us-ec.yottaa.net/56213828312e5803810043dd/www.hallmark.com/v~4b.1bd/dw/image/v2/AALB_PRD/on/demandware.static/-/Sites-hallmark-master/default/dw2c78bbbf/images/finished-goods/You-Are-a-Unicorn-Queen-Thinking-of-You-Card_399YYF1302_01.jpg?sw=512&sh=512&sm=fit&yocs=27_&yoloc=us,Any+Woman,you-are-a-unicorn-queen-thinking-of-you-card,you-are-a-unicorn-queen-thinking-of-you-card,https://greeting-card-images.s3.amazonaws.com/you-are-a-unicorn-queen-thinking-of-you-card,[254.84650184 254.9431878  254.89710679]
3,3441,3441,3444,514,https://cdn-us-ec.yottaa.net/56213828312e5803810043dd/www.hallmark.com/v~4b.1bd/dw/image/v2/AALB_PRD/on/demandware.static/-/Sites-hallmark-master/default/dw0bdc9cb6/images/finished-goods/Embossed-Heart-With-Icons-and-Mom-Phrases-Mothers-Day-Card_799MSI6019_01.jpg?sw=512&sh=512&sm=fit&yocs=27_&yoloc=us,Mother,embossed-heart-with-icons-and-mom-phrases-mothers-day-card,embossed-heart-with-icons-and-mom-phrases-mothers-day-card,https://greeting-card-images.s3.amazonaws.com/embossed-heart-with-icons-and-mom-phrases-mothers-day-card,[254.8933958  254.89305302 254.89956581]
4,1870,1870,1848,152,https://cdn-us-ec.yottaa.net/56213828312e5803810043dd/www.hallmark.com/v~4b.1bd/dw/image/v2/AALB_PRD/on/demandware.static/-/Sites-hallmark-master/default/dw0ba776b8/images/finished-goods/Layered-Heart-and-Leaves-Romantic-Anniversary-Card_899LAD2585_01.jpg?sw=512&sh=512&sm=fit&yocs=27_&yoloc=us,Husband,layered-heart-and-leaves-romantic-anniversary-card,layered-heart-and-leaves-romantic-anniversary-card,https://greeting-card-images.s3.amazonaws.com/layered-heart-and-leaves-romantic-anniversary-card,[254.90150731 254.8994362  254.88459326]
5,1089,1089,1047,11,https://cdn-us-ec.yottaa.net/56213828312e5803810043dd/www.hallmark.com/v~4b.1bd/dw/image/v2/AALB_PRD/on/demandware.static/-/Sites-hallmark-master/default/dw4eb96949/images/finished-goods/You-Were-Born-Daughter-Birthday-Card_299FBD2781_01.jpg?sw=512&sh=512&sm=fit&yocs=27_&yoloc=us,Daughter,you-were-born-daughter-birthday-card,you-were-born-daughter-birthday-card,https://greeting-card-images.s3.amazonaws.com/you-were-born-daughter-birthday-card,[254.95250987 254.89949239 254.78849408]
6,3047,3047,3042,112,https://cdn-us-ec.yottaa.net/56213828312e5803810043dd/www.hallmark.com/v~4b.1bd/dw/image/v2/AALB_PRD/on/demandware.static/-/Sites-hallmark-master/default/dw1c0d8577/images/finished-goods/Flowers-Wonderful-Woman-Birthday-Card_479FBD8031_01.jpg?sw=512&sh=512&sm=fit&yocs=27_&yoloc=us,Mother,flowers-wonderful-woman-birthday-card,flowers-wonderful-woman-birthday-card,https://greeting-card-images.s3.amazonaws.com/flowers-wonderful-woman-birthday-card,[254.87655706 254.82931209 254.9101111 ]
7,1721,1721,1715,19,https://cdn-us-ec.yottaa.net/56213828312e5803810043dd/www.hallmark.com/v~4b.1bd/dw/image/v2/AALB_PRD/on/demandware.static/-/Sites-hallmark-master/default/dwdf1c2798/images/finished-goods/Tree-With-a-Couples-Initials-Fathers-Day-Card_399IMM6475_01.jpg?sw=512&sh=512&sm=fit&yocs=27_&yoloc=us,Husband,tree-with-a-couples-initials-fathers-day-card,tree-with-a-couples-initials-fathers-day-card,https://greeting-card-images.s3.amazonaws.com/tree-with-a-couples-initials-fathers-day-card,[254.89232444 254.8328797  254.88067501]
8,2069,2069,2052,79,https://cdn-us-ec.yottaa.net/56213828312e5803810043dd/www.hallmark.com/v~4b.1bd/dw/image/v2/AALB_PRD/on/demandware.static/-/Sites-hallmark-master/default/dwd98a998b/images/finished-goods/ken-sheldon-every-little-moment-wife-card-root-499moa2594_1470_1.jpg?sw=416&sh=416&sm=fit&yocs=27_&yoloc=us,Wife,ken-sheldon-every-little-moment-wife-card-root-499moa2594,ken-sheldon-every-little-moment-wife-card-root-499moa2594,https://greeting-card-images.s3.amazonaws.com/ken-sheldon-every-little-moment-wife-card-root-499moa2594,[254.85921081 254.85921081 254.85513618]
9,3129,3129,3125,195,https://cdn-us-ec.yottaa.net/56213828312e5803810043dd/www.hallmark.com/v~4b.1bd/dw/image/v2/AALB_PRD/on/demandware.static/-/Sites-hallmark-master/default/dw8d97fe5f/images/finished-goods/Life-Gave-Me-You-Mothers-Day-Card_599IEM6552_01.jpg?sw=512&sh=512&sm=fit&yocs=27_&yoloc=us,Mother,life-gave-me-you-mothers-day-card,life-gave-me-you-mothers-day-card,https://greeting-card-images.s3.amazonaws.com/life-gave-me-you-mothers-day-card,[254.89680909 254.81308816 254.79816117]
10,4242,4242,4252,340,https://cdn-us-ec.yottaa.net/56213828312e5803810043dd/www.hallmark.com/v~4b.1bd/dw/image/v2/AALB_PRD/on/demandware.static/-/Sites-hallmark-master/default/dw2034911b/images/finished-goods/Amazing-Girl-Gift-Tag-FrenchLanguage-Birthday-Card-root-799LDQ1022_LDQ1022_1470_1.jpg_Source_Image.jpg?sw=512&sh=512&sm=fit&yocs=27_&yoloc=us,Any+Woman,amazing-girl-gift-tag-frenchlanguage-birthday-card-root-799ldq1022,amazing-girl-gift-tag-frenchlanguage-birthday-card-root-799ldq1022,https://greeting-card-images.s3.amazonaws.com/amazing-girl-gift-tag-frenchlanguage-birthday-card-root-799ldq1022,[254.89284439 254.87296107 254.72496726]
11,3863,3863,3882,91,https://cdn-us-ec.yottaa.net/56213828312e5803810043dd/www.hallmark.com/v~4b.1bd/dw/image/v2/AALB_PRD/on/demandware.static/-/Sites-hallmark-master/default/dw6f4f8751/images/finished-goods/Grateful-for-You-Christmas-Card-for-Grandma-root-429XXO2881_XXO2881_1470_1.jpg_Source_Image.jpg?sw=512&sh=512&sm=fit&yocs=27_&yoloc=us,Grandmother,grateful-for-you-christmas-card-for-grandma-root-429xxo2881,grateful-for-you-christmas-card-for-grandma-root-429xxo2881,https://greeting-card-images.s3.amazonaws.com/grateful-for-you-christmas-card-for-grandma-root-429xxo2881,[254.89978653 254.87523719 254.70635674]
