,imageLink,category,cardName,s3_file_name,s3_link,rgb,hue
3045,https://cdn-us-ec.yottaa.net/56213828312e5803810043dd/www.hallmark.com/v~4b.1bd/dw/image/v2/AALB_PRD/on/demandware.static/-/Sites-hallmark-master/default/dw5adf5a10/images/finished-goods/Lucky-Me-Mothers-Day-Card_500MSI3523_01.jpg?sw=512&sh=512&sm=fit&yocs=27_&yoloc=us,Any+Woman,lucky-me-mothers-day-card,lucky-me-mothers-day-card,https://greeting-card-images.s3.amazonaws.com/lucky-me-mothers-day-card,[188.56105611  96.8349835   91.54125413],0.0
1780,https://cdn-us-ec.yottaa.net/56213828312e5803810043dd/www.hallmark.com/v~4b.1bd/dw/image/v2/AALB_PRD/on/demandware.static/-/Sites-hallmark-master/default/dw938058ce/images/finished-goods/Share-a-Love-Thats-Valentines-Day-Card_699VEE8087_01.jpg?sw=512&sh=512&sm=fit&yocs=27_&yoloc=us,Wife,share-a-love-thats-valentines-day-card,share-a-love-thats-valentines-day-card,https://greeting-card-images.s3.amazonaws.com/share-a-love-thats-valentines-day-card,[219.09951846 153.85272873 152.25421348],0.0013613953654339583
3431,https://cdn-us-ec.yottaa.net/56213828312e5803810043dd/www.hallmark.com/v~4b.1bd/dw/image/v2/AALB_PRD/on/demandware.static/-/Sites-hallmark-master/default/dw793bc470/images/finished-goods/In-Our-Hearts-Valentines-Day-Card-Male_399VEE7279_01.jpg?sw=512&sh=512&sm=fit&yocs=27_&yoloc=us,Son,in-our-hearts-valentines-day-card-male,in-our-hearts-valentines-day-card-male,https://greeting-card-images.s3.amazonaws.com/in-our-hearts-valentines-day-card-male,[207.17200938  57.82017201  46.17200938],0.02077512920247146
2226,https://cdn-us-ec.yottaa.net/56213828312e5803810043dd/www.hallmark.com/v~4b.1bd/dw/image/v2/AALB_PRD/on/demandware.static/-/Sites-hallmark-master/default/dwfd3a06ab/images/finished-goods/Grateful-Youre-Mine-Christmas-Card-for-the-Woman-I-Love-root-599XXO7874_XXO7874_1470_1.jpg_Source_Image.jpg?sw=512&sh=512&sm=fit&yocs=27_&yoloc=us,Wife,grateful-youre-mine-christmas-card-for-the-woman-i-love-root-599xxo7874,grateful-youre-mine-christmas-card-for-the-woman-i-love-root-599xxo7874,https://greeting-card-images.s3.amazonaws.com/grateful-youre-mine-christmas-card-for-the-woman-i-love-root-599xxo7874,[201.34754882 170.5675568  101.06058191],0.02696956386049272
3670,https://cdn-us-ec.yottaa.net/56213828312e5803810043dd/www.hallmark.com/v~4b.1bd/dw/image/v2/AALB_PRD/on/demandware.static/-/Sites-hallmark-master/default/dwea4ffdde/images/finished-goods/Queen-of-My-Life-Valentines-Day-Card_799SV2327_01.jpg?sw=512&sh=512&sm=fit&yocs=27_&yoloc=us,Wife,queen-of-my-life-valentines-day-card,queen-of-my-life-valentines-day-card,https://greeting-card-images.s3.amazonaws.com/queen-of-my-life-valentines-day-card,[149.40226052  57.11802853  57.16805633],0.10554495115738692
88,https://cdn-us-ec.yottaa.net/56213828312e5803810043dd/www.hallmark.com/v~4b.1bd/dw/image/v2/AALB_PRD/on/demandware.static/-/Sites-hallmark-master/default/dwcba2252a/images/finished-goods/Bicycle-Valentines-Day-Card-for-Granddaughter-and-Her-Husband-root-299VEE2153_PV.1.VEE2153.jpg_Source_Image.jpg?sw=416&sh=416&sm=fit&yocs=27_&yoloc=us,Granddaughter,bicycle-valentines-day-card-for-granddaughter-and-her-husband-root-299vee2153,bicycle-valentines-day-card-for-granddaughter-and-her-husband-root-299vee2153,https://greeting-card-images.s3.amazonaws.com/bicycle-valentines-day-card-for-granddaughter-and-her-husband-root-299vee2153,[250.9079827  247.24773889 240.99764058],0.15550171840668003
994,https://cdn-us-ec.yottaa.net/56213828312e5803810043dd/www.hallmark.com/v~4b.1bd/dw/image/v2/AALB_PRD/on/demandware.static/-/Sites-hallmark-master/default/dwe4e01379/images/finished-goods/You-Shine-Birthday-Card-With-Light_799ARH1189_01.jpg?sw=512&sh=512&sm=fit&yocs=27_&yoloc=us,Any+Woman,you-shine-birthday-card-with-light,you-shine-birthday-card-with-light,https://greeting-card-images.s3.amazonaws.com/you-shine-birthday-card-with-light,[242.26173166 183.02544613 194.10839392],0.2189781021870904
3535,https://cdn-us-ec.yottaa.net/56213828312e5803810043dd/www.hallmark.com/v~4b.1ba/dw/image/v2/AALB_PRD/on/demandware.static/-/Sites-hallmark-master/default/dw702d581b/images/finished-goods/SupercoolPowers-Valentines-Day-Card_200VV8099_01.jpg?sw=512&sh=512&sm=fit&yocs=27_&yoloc=us,Boy,supercoolpowers-valentines-day-card,supercoolpowers-valentines-day-card,https://greeting-card-images.s3.amazonaws.com/supercoolpowers-valentines-day-card,[215.06434379  30.63948897  44.44878049],0.26959797767833793
40,https://cdn-us-ec.yottaa.net/56213828312e5803810043dd/www.hallmark.com/v~4b.1bd/dw/image/v2/AALB_PRD/on/demandware.static/-/Sites-hallmark-master/default/dw2f2635a8/images/finished-goods/Whats-Up-Girl-Thinking-of-You-Card_399MHF1113_01.jpg?sw=512&sh=512&sm=fit&yocs=27_&yoloc=us,Any+Woman,whats-up-girl-thinking-of-you-card,whats-up-girl-thinking-of-you-card,https://greeting-card-images.s3.amazonaws.com/whats-up-girl-thinking-of-you-card,[254.60124403 254.59046984 254.55736977],0.27159285539514033
882,https://cdn-us-ec.yottaa.net/56213828312e5803810043dd/www.hallmark.com/v~4b.1bd/dw/image/v2/AALB_PRD/on/demandware.static/-/Sites-hallmark-master/default/dweb5b94e6/images/finished-goods/All-Kinds-of-Wonderful-Like-a-Daughter-Birthday-Card-root-299FBD8084_FBD8084_1470_1.jpg_Source_Image.jpg?sw=512&sh=512&sm=fit&yocs=27_&yoloc=us,Daughter,all-kinds-of-wonderful-like-a-daughter-birthday-card-root-299fbd8084,all-kinds-of-wonderful-like-a-daughter-birthday-card-root-299fbd8084,https://greeting-card-images.s3.amazonaws.com/all-kinds-of-wonderful-like-a-daughter-birthday-card-root-299fbd8084,[202.41225962 215.50841346 215.30709135],0.30180779822563925
